Artist
the isley brothers
neil diamond
oliver
creedence clearwater revival
the beatles with billy preston
zager  evans
blood sweat  tears
andy kim
the friends of distinction
the lettermen
creedence clearwater revival
stevie wonder
three dog night
smith
elvis presley
johnny cash
the miracles
jerry butler
the zombies
the 5th dimension
bobby sherman
mercy
oliver
the guess who
blood sweat  tears
jackie deshannon
the watts 103rd street rhythm band
the grass roots
the doors
spiral starecase
sammy davis jr
bob dylan
donovan
classics iv
mama cass elliot
jay and the americans
the temptations
the ventures
glen campbell
lou christie
ray stevens
tyrone davis
booker t  the mgs
dionne warwick
the winstons
checkmates ltd
1910 fruitgum company
james brown
edwin starr
new colony six
motherlode
marvin gaye
harry nilsson
johnny maestro  the brooklyn bridge
joe simon
the flying machine
tony joe white
kenny rogers  the first edition
joe south
the turtles
the cuff links
the dells
the beatles
gary puckett  the union gap
the beatles
bob seger system
the supremes  the temptations
marvin gaye
crazy elephant
booker t  the mgs
lou rawls
the originals
edwin hawkins singers
tom jones
paul revere  the raiders
the guess who
david ruffin
the box tops
bj thomas
the box tops
simon  garfunkel
the carpenters
the guess who
bj thomas
edwin starr
diana ross
the jackson 5
rare earth
the beatles
freda payne
three dog night
ray stevens
bread
vanity fare
the jackson 5
the jackson 5
neil diamond
dawn
sly  the family stone
eric burdon  war
five stairsteps
norman greenbaum
melanie
the temptations
the moments
the poppy family
free
the jackson 5
bobby sherman
sugarloaf
stevie wonder
blues image
shocking blue
john lennon
clarence carter
creedence clearwater revival
brook benton
kenny rogers  the first edition
chairmen of the board
edison lighthouse
the beatles
anne murray
marmalade
eddie holman
the jaggerz
the hollies
alive n kickin
badfinger
simon  garfunkel
charles wright  the watts 103rd street rhythm band
tyrone davis
the kinks
mungo jerry
r dean taylor
rare earth
bobby sherman
charles wright  the watts 103rd street rhythm band
the four tops
chicago
frijid pink
chicago
white plains
the friends of distinction
the brotherhood of man
the carpenters
mark lindsay
james taylor
gene chandler
santana
the guess who
the delfonics
elvis presley
creedence clearwater revival
ronnie dyson
bj thomas
the spinners
bobbi martin
mountain
ike  tina turner
joe cocker
tee set
the originals
christie
100 proof aged in soul
the ides of march
the pipkins
robin mcnamara
the supremes
creedence clearwater revival
the sandpipers
the temptations
tom jones
pacific gas  electric
crosby stills nash  young
dionne warwick
the new seekers
joe south
bb king
glen campbell
aretha franklin
three dog night
rod stewart
carole king
the osmonds
bee gees
paul revere  the raiders
donny osmond
john denver
the temptations
tony orlando and dawn
janis joplin
al green
honey cone
the undisputed truth
cornelius brothers  sister rose
james taylor
jean knight
the rolling stones
lee michaels
joan baez
marvin gaye
paul  linda mccartney
bill withers
five man electrical band
tom jones
murray head  the trindad singers
the free movement
jerry reed
the grass roots
the carpenters
george harrison
donny osmond
ocean
daddy dewdrop
the carpenters
sammi smith
the carpenters
gordon lightfoot
cher
the jackson 5
lynn anderson
hamilton joe frank  reynolds
ringo starr
nitty gritty dirt band
the fuzz
the dramatics
carly simon
stevie wonder
aretha franklin
helen reddy
the osmonds
aretha franklin
the partridge family
tommy james
ike  tina turner
chicago
the bells
the stampeders
lobo
paul mccartney
bread
marvin gaye
brewer  shipley
8th day
freda payne
rare earth
delaney  bonnie  friends
freddie hart
three dog night
the honey cone
mac and katie kissoon
andy williams
cat stevens
jerry reed
the beginning of the end
olivia newtonjohn
king floyd
bobby goldsboro
matthews southern comfort
judy collins
dave edmunds
bee gees
the fortunes
the who
denise lasalle
the jackson 5
the buoys
the partridge family
isaac hayes
gladys knight  the pips
neil diamond
paul stookey
wilson pickett
the doors
richie havens
wadsworth mansion
brenda  the tabulations
the 5th dimension
the doors
perry como
roberta flack
gilbert osullivan
don mclean
harry nilsson
sammy davis jr
joe tex
bill withers
mac davis
melanie
wayne newton
al green
looking glass
the chilites
gallery
chuck berry
luther ingram
neil young
the stylistics
the staple singers
michael jackson
robert john
billy preston
war
the hollies
mouth  macneal
neil diamond
america
hot butter
the main ingredient
climax
the 5th dimension
the moody blues
raspberries
cornelius brothers  sister rose
the ojays
the osmonds
jonathan edwards
mel and tim
badfinger
elton john
michael jackson
daniel boone
dennis coffey
cat stevens
arlo guthrie
ricky nelson
johnny nash
elvis presley
betty wright
argent
the chakachas
bread
the dramatics
al green
donna fargo
t rex
paul simon
roberta flack  donny hathaway
al green
derek and the dominos
aretha franklin
cher
three dog night
dr hook  the medicine show
the carpenters
harry nilsson
donny osmond
jim croce
commander cody and his lost planet airmen
sonny  cher
apollo 100
carly simon
three dog night
charley pride
alice cooper
chicago
joe simon
bill withers
sly  the family stone
jimmy castor bunch
redbone
curtis mayfield
joe simon
jerry butler  brenda lee eager
harry chapin
beverly bremers
bobby vinton
todd rundgren
sailcat
original cast of godspell
yes
jackson browne
the new seekers
don mclean
the detroit emeralds
rick springfield
the hillside singers
love unlimited
james brown
the isley brothers
tony orlando and dawn
jim croce
roberta flack
marvin gaye
paul mccartney  wings
kris kristofferson
elton john
billy preston
carly simon
diana ross
vicki lawrence
clint holmes
stories
helen reddy
billy paul
edgar winter group
dobie gray
sweet
stevie wonder
cher
the isley brothers
sylvia
grand funk railroad
dr john
skylark
stevie wonder
paul simon
maureen mcgovern
john denver
stealers wheel
three dog night
the ojays
barry white
tony orlando and dawn
eddie kendricks
king harvest
anne murray
bobby boris pickett and the cryptkickers
bloodstone
seals and crofts
the doobie brothers
george harrison
sly  the family stone
jermaine jackson
gladys knight  the pips
new york city
the spinners
elton john
gladys knight  the pips
deep purple
dr hook  the medicine show
charlie rich
loggins and messina
chicago
war
paul mccartney  wings
hurricane smith
johnnie taylor
the carpenters
the four tops
eric weissberg  steve mandell
stevie wonder
al green
bw stevenson
curtis mayfield
gilbert osullivan
edward bear
steely dan
focus
the carpenters
bette midler
gilbert osullivan
steely dan
paul simon
timmy thomas
tower of power
bette midler
johnny rivers
the allman brothers band
the temptations
helen reddy
the spinners
donna fargo
ohio players
the rolling stones
blue ridge rangers
lobo
the stylistics
jud strunk
deodato
johnny nash
pink floyd
war
war
the pointer sisters
edgar winter group
david bowie
albert hammond
donny osmond
the temptations
barbra streisand
terry jacks
love unlimited orchestra
redbone
the jackson 5
grand funk railroad
mfsb
ray stevens
elton john
mac davis
aretha franklin
kool  the gang
maria muldaur
the stylistics
al wilson
jim stafford
david essex
john denver
blue magic
blue swede
bo donaldson and the heywoods
paul mccartney and wings
charlie rich
jim croce
john denver
olivia newtonjohn
gordon lightfoot
paul anka
andy kim
eddie kendricks
ringo starr
olivia newtonjohn
cher
gladys knight  the pips
roberta flack
the main ingredient
billy preston
george mccrae
the carpenters
steve miller band
gladys knight  the pips
three dog night
the hues corporation
brownsville station
stevie wonder
paper lace
dionne warwick  the spinners
marvin hamlisch
abba
the hollies
steely dan
carly simon  james taylor
joni mitchell
anne murray
barry white
rufus  chaka khan
helen reddy
the righteous brothers
kool  the gang
william devaughn
johnny bristol
mocedades
bachmanturner overdrive
golden earring
dave loggins
wet willie
bobby womack
the ojays
gladys knight  the pips
cat stevens
helen reddy
elton john
chicago
ringo starr
the ojays
eric clapton
paul mccartney and wings
elton john
mike oldfield
anne murray
donny and marie osmond
todd rundgren
tom t hall
the guess who featuring wolfman jack
jim croce
sister janet mead
lamont dozier
stevie wonder
charlie rich
jim stafford
paul mccartney and wings
diana ross  marvin gaye
jim stafford
the first class
war
the stylistics
olivia newtonjohn
chicago
fancy
the spinners
captain  tennille
glen campbell
elton john
freddy fender
frankie valli
earth wind  fire
david bowie
neil sedaka
eagles
john denver
bee gees
eagles
minnie riperton
carl douglas
the doobie brothers
sweet
bj thomas
tony orlando and dawn
janis ian
average white band
